location,center_name,state,construction_year,total_data_points,n_before,n_after,before_period,after_period,mean_before,std_before,mean_after,std_after,difference,percent_change
"Prineville, OR",prineville,or,2010,240,90,150,Apr 2002 - Dec 2009,Jan 2010 - Dec 2024,0.078576736,4.8649707,-1.1082355976104736,5.583108425140381,-1.1868122816085815,-1510.3863525390625
"Eagle_Mt, UT",eagle_mt,ut,2018,240,163,77,Apr 2002 - May 2017,Jun 2018 - Dec 2024,0.76671845,3.7160873,-0.6925801038742065,3.854499578475952,-1.4592986106872559,-190.3304443359375
"Kuna, ID",kuna,id,2022,240,204,36,Apr 2002 - Dec 2021,Jan 2022 - Dec 2024,0.104385845,4.4770007,-2.484516143798828,5.149572849273682,-2.588901996612549,-2480.12744140625
"Mesa, AZ",mesa,az,2021,240,192,48,Apr 2002 - Dec 2020,Jan 2021 - Dec 2024,-0.39615276,2.5494864,-7.175042629241943,2.408722162246704,-6.7788896560668945,-1711.1806640625
"Cheyenne, WY",cheyenne,wy,2024,240,228,12,Apr 2002 - Dec 2023,Jan 2024 - Dec 2024,0.3375301,3.8561528,-0.4425358772277832,3.013972043991089,-0.7800660133361816,-231.11004638671875
"Los_Lunes, NM",los_lunes,nm,2016,240,149,91,Apr 2002 - Dec 2015,Jan 2016 - Dec 2024,0.7858421,2.5588937,-4.591009616851807,3.222083330154419,-5.376851558685303,-684.2152709960938
"El_Paso, TX",el_paso,tx,2025,240,240,0,Apr 2002 - Dec 2024,No data,-1.7240115,3.0527918,,,,
"Sarpy_County, NE",sarpy_county,ne,2017,240,158,82,Apr 2002 - Dec 2016,Jan 2017 - Dec 2024,0.8062798,3.7424603,-0.6798264384269714,3.7839739322662354,-1.4861061573028564,-184.31643676757812
"Fort_Worth, TX",fort_worth,tx,2015,240,140,100,Apr 2002 - Nov 2014,Jan 2015 - Dec 2024,0.32263452,2.1591742,-4.656322479248047,3.4529848098754883,-4.978957176208496,-1543.218994140625
"Temple, TX",temple,tx,2022,240,204,36,Apr 2002 - Dec 2021,Jan 2022 - Dec 2024,-0.88756996,2.33064,-6.463846683502197,2.2178711891174316,-5.576276779174805,-628.2633056640625
"Kansas_City, MO",kansas_city,mo,2022,240,204,36,Apr 2002 - Dec 2021,Jan 2022 - Dec 2024,-0.08209812,2.566582,-3.1647584438323975,1.9732661247253418,-3.082660436630249,-3754.848876953125
"Altoona, IA",altoona,ia,2013,240,122,118,Apr 2002 - Dec 2012,Jan 2013 - Dec 2024,0.45217562,3.8242402,0.13966955244541168,3.813668966293335,-0.3125060796737671,-69.11166381835938
