location,center_name,state,construction_date,breakpoint_date,time_diff_years,breakpoint_index,total_points,points_before,points_after,mean_before,std_before,mean_after,std_after,difference,percent_change,slope_before,slope_after,r_squared,residual_sum_squares
"Prineville, OR",prineville,or,2010-01-01,2022-04-01,12.24640657084189,207,240,207,33,-0.081828594,4.943399,-4.3098464,6.319069,-4.228018,-5166.92,-0.00013325895227549745,0.011558808407115465,0.13022883838891075,5988.382092165451
"Eagle_Mt, UT",eagle_mt,ut,2018-01-01,2009-12-01,-8.084873374401095,89,240,89,151,-0.010251666,3.5881495,0.48052207,3.9424164,0.49077374,4787.2583,-0.0008637645882205891,-0.0009247751525353051,0.11990600848526656,3085.8609282863176
"Kuna, ID",kuna,id,2022-01-01,2022-04-01,0.2464065708418891,207,240,207,33,0.14735855,4.464383,-2.9894266,5.0539923,-3.1367853,-2128.6755,-3.0746153110105086e-05,0.009770010966592038,0.10402395063506531,4702.644042051252
"Mesa, AZ",mesa,az,2021-01-01,2008-12-01,-12.084873374401095,77,240,77,163,-0.6043748,1.8810493,-2.2940278,4.1956196,-1.6896529,-279.57037,-0.0007469192207727023,-0.002075612306685772,0.7456894255063933,836.9560928471774
"Cheyenne, WY",cheyenne,wy,2024-01-01,2009-12-01,-14.08350444900753,89,240,89,151,-0.010251666,3.5881495,0.48052207,3.9424164,0.49077374,4787.2583,-0.0008637645882205891,-0.0009247751525353051,0.11990600848526656,3085.8609282863176
"Los_Lunes, NM",los_lunes,nm,2016-01-01,2008-12-01,-7.082819986310746,77,240,77,163,-0.44169042,2.210379,-1.6360812,4.3630524,-1.1943908,-270.41357,-0.0010687692183205396,-0.0020830408061814853,0.6801312551184395,1136.7217600865963
"El_Paso, TX",el_paso,tx,2025-01-01,2008-12-01,-16.084873374401095,77,240,77,163,-0.5842217,1.5366858,-2.2624395,3.4209516,-1.6782178,-287.25702,-0.00043641104719159443,-0.0016463365508258294,0.7115493353039215,645.1744890500889
"Sarpy_County, NE",sarpy_county,ne,2017-01-01,2009-12-01,-7.085557837097878,89,240,89,151,-0.010251666,3.5881495,0.48052207,3.9424164,0.49077374,4787.2583,-0.0008637645882205891,-0.0009247751525353051,0.11990600848526656,3085.8609282863176
"Fort_Worth, TX",fort_worth,tx,2015-01-01,2008-12-01,-6.083504449007529,77,240,77,163,-0.6043748,1.8810493,-2.2940278,4.1956196,-1.6896529,-279.57037,-0.0007469192207727023,-0.002075612306685772,0.7456894255063933,836.9560928471774
"Temple, TX",temple,tx,2022-01-01,2008-12-01,-13.084188911704311,77,240,77,163,-0.5842217,1.5366858,-2.2624395,3.4209516,-1.6782178,-287.25702,-0.00043641104719159443,-0.0016463365508258294,0.7115493353039215,645.1744890500889
"Kansas_City, MO",kansas_city,mo,2022-01-01,2009-12-01,-12.084873374401095,89,240,89,151,-0.0030150642,1.9563278,-0.8636488,3.0369484,-0.86063373,-28544.457,-0.0006369466825659916,-0.0011283565825491696,0.3426313924461405,1166.6843555925193
"Altoona, IA",altoona,ia,2013-01-01,2009-12-01,-3.0855578370978782,89,240,89,151,-0.010251666,3.5881495,0.48052207,3.9424164,0.49077374,4787.2583,-0.0008637645882205891,-0.0009247751525353051,0.11990600848526656,3085.8609282863176
