location,center_name,state,construction_date,total_points,points_before,points_after,simple_slope_daily,simple_slope_annual,simple_r2,simple_p_value,simple_intercept,mean_before,mean_after,slope_before_daily,slope_after_daily,slope_before_annual,slope_after_annual,slope_diff_annual,r2_before,r2_after,p_value_before,p_value_after
"Prineville, OR",prineville,or,2010-01-01,240,90,150,-0.0004138820297075926,-0.1511704113506982,0.03681357933709717,0.0028387730426420745,1.023859036334304,0.078576736,-1.1082355976104736,-0.0007043603207041943,-0.0006918671534895512,-0.257267607137207,-0.25270447781205857,0.004563129325148391,0.013387648460089663,0.04291432476208357,0.2774869796592333,0.010972219343417886
"Eagle_Mt, UT",eagle_mt,ut,2018-01-01,240,163,77,-0.0002211769998014255,-0.08078489917747067,0.020643961639491115,0.02602624473828812,1.2000746310370674,0.76671845,-0.6925801038742065,0.00019452914805966707,-0.0017595000561573513,0.0710517713287934,-0.6426573955114726,-0.7137091668402659,0.006648769762875317,0.0960615196767487,0.300787653598791,0.006086014895022406
"Kuna, ID",kuna,id,2022-01-01,240,204,36,-0.00026110207887192834,-0.09536753430797183,0.01921917817402441,0.03180439112233378,0.780338540792222,0.104385845,-2.484516143798828,-6.891108677843293e-05,0.00496084140345499,-0.025169774445822628,1.811947322611935,1.8371170970577577,0.0010529289234680883,0.09286375963716442,0.6449833944613168,0.0707403822723565
"Mesa, AZ",mesa,az,2021-01-01,240,192,48,-0.0010117165450168788,-0.369529468067415,0.46019172151926324,1.0378385649472955e-33,2.3719650505762413,-0.39615276,-7.175042629241943,-0.0004533047406899686,-0.003117547305788671,-0.16556955653701103,-1.138684153439312,-0.9731145969023011,0.12230405295224911,0.29784048674910824,6.622236417103689e-07,6.025147240564076e-05
"Cheyenne, WY",cheyenne,wy,2024-01-01,240,228,12,-0.0002211769998014255,-0.08078489917747067,0.020643961639491115,0.02602624473828812,1.2000746310370674,0.3375301,-0.4425358772277832,-0.00022614782656450513,-0.010341925782415561,-0.0826004936526855,-3.7773883920272837,-3.694787898374598,0.019220367936584548,0.13043319749148208,0.03643975381899414,0.24874163034665028
"Los_Lunes, NM",los_lunes,nm,2016-01-01,240,149,91,-0.0009491212753692067,-0.3466665458286028,0.37507703795160174,4.2317682171096086e-26,2.615867935316019,0.7858421,-4.591009616851807,0.0005322824460532434,-0.0027409996117471426,0.19441616342094717,-1.0011501081906438,-1.195566271611591,0.08362521378984134,0.6022160675433992,0.0003476948278034343,1.649504967625144e-19
"El_Paso, TX",el_paso,tx,2025-01-01,240,240,0,-0.0008485717883284209,-0.30994084568695573,0.4763552411894817,2.739280877226221e-35,1.7348839314911402,-1.7240115,,-0.0008485717883284209,,-0.30994084568695573,,,0.4763552411894817,,2.739280877226221e-35,
"Sarpy_County, NE",sarpy_county,ne,2017-01-01,240,158,82,-0.0002211769998014255,-0.08078489917747067,0.020643961639491115,0.02602624473828812,1.2000746310370674,0.8062798,-0.6798264384269714,0.0002704319505571258,-0.0013405236860266584,0.0987752699409902,-0.48962627632123695,-0.5884015462622272,0.011700265611812588,0.07376027425155973,0.17611333711281965,0.013580838650105344
"Fort_Worth, TX",fort_worth,tx,2015-01-01,240,140,100,-0.0010117165450168788,-0.369529468067415,0.46019172151926324,1.0378385649472955e-33,2.3719650505762413,0.32263452,-4.656322479248047,0.0004068312691575896,-0.0028129432491286917,0.1485951210598096,-1.0274275217442546,-1.1760226428040643,0.05895900497352158,0.7294296960506128,0.003844401478871044,1.425136564788699e-29
"Temple, TX",temple,tx,2022-01-01,240,204,36,-0.0008485717883284209,-0.30994084568695573,0.4763552411894817,2.739280877226221e-35,1.7348839314911402,-0.88756996,-6.463846683502197,-0.0005664893717918204,-0.0016440046945511444,-0.2069102430469624,-0.6004727146848055,-0.393562471637843,0.2625671898157903,0.05498079899219965,4.71288128212872e-15,0.168664738385558
"Kansas_City, MO",kansas_city,mo,2022-01-01,240,204,36,-0.0004872167195196992,-0.17795590680457013,0.1979062251035132,4.57835980966773e-13,1.441465174277679,-0.08209812,-3.1647584438323975,-0.0003520982263841396,0.0014506274057997002,-0.128603877186807,0.5298416599683405,0.6584455371551475,0.08364205400496083,0.05407762326696641,2.724388628035124e-05,0.1723061643582515
"Altoona, IA",altoona,ia,2013-01-01,240,122,118,-0.0002211769998014255,-0.08078489917747067,0.020643961639491115,0.02602624473828812,1.2000746310370674,0.45217562,0.13966955244541168,1.6576784438918158e-05,-0.0012580913898218398,0.006054670516314857,-0.45951788013242695,-0.46557255064874187,2.2551607342990998e-05,0.18187971592622187,0.9586198620533095,1.4690853373967743e-06
